#Observation	name	definition	A.1	A.2	B.1	B.2
K02575	NRT, narK, nrtP, nasA	MFS transporter, NNP family, nitrate/nitrite transporter	8	4	2	3
K01710	rfbB, rmlB, rffG	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	34	36	28	26
K01711	gmd, GMDS	GDPmannose 4,6-dehydratase [EC:4.2.1.47]	30	33	38	33
K01712	hutU, UROC1	urocanate hydratase [EC:4.2.1.49]	46	40	34	40
K01714	dapA	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	42	26	30	26
K14777	DDX47, RRP3	ATP-dependent RNA helicase DDX47/RRP3 [EC:3.6.4.13]	1	2	1	1
K03977	engA, der	GTPase	50	41	40	42
K03975	dedA	membrane-associated protein	3	4	2	3
K03978	engB	GTP-binding protein	9	13	5	4
K03979	obgE, cgtA, MTG2	GTPase [EC:3.6.5.-]	31	42	37	32
K14778	DDX49, DBP8	ATP-dependent RNA helicase DDX49/DBP8 [EC:3.6.4.13]	1	1	2	2
K02199	ccmG, dsbE	cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE	3	3	2	1
K02198	ccmF	cytochrome c-type biogenesis protein CcmF	18	18	27	12
K13378	nuoCD	NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]	8	7	3	6
K14170	pheA	chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]	4	7	2	6
K02193	ccmA	heme exporter protein A [EC:7.6.2.5]	4	5	4	3
K02197	ccmE	cytochrome c-type biogenesis protein CcmE	8	1	2	2
K02195	ccmC	heme exporter protein C	10	9	6	4
K02372	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	14	13	9	14
K03718	asnC	Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA	2	1	1	2
K03719	lrp	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	2	4	1	3
K02377	TSTA3, fcl	GDP-L-fucose synthase [EC:1.1.1.271]	12	14	16	12
K01755	argH, ASL	argininosuccinate lyase [EC:4.3.2.1]	59	48	42	60
K02379	fdhD	FdhD protein	12	10	15	7
K03711	fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	5	5	5	3
K16856	ugl	ureidoglycolate lyase [EC:4.3.2.3]	20	6	11	4
K17675	SUPV3L1, SUV3	ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]	1	2	1	4
K12823	DDX5, DBP2	ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]	3	5	3	5
K02431	fucU, FUOM	L-fucose mutarotase [EC:5.1.3.29]	1	1	1	1
K02283	cpaF, tadA	pilus assembly protein CpaF [EC:7.4.2.8]	7	10	12	9
K03167	top6B	DNA topoisomerase VI subunit B [EC:5.6.2.2]	6	7	1	1
K02280	cpaC, rcpA	pilus assembly protein CpaC	2	5	2	3
K03802	cphA	cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]	4	4	6	1
K03801	lipB	lipoyl(octanoyl) transferase [EC:2.3.1.181]	20	29	15	10
K03624	greA	transcription elongation factor GreA	20	8	24	25
K03625	nusB	transcription antitermination protein NusB	17	15	8	12
K03151	thiI	tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]	3	2	1	5
K03621	plsX	phosphate acyltransferase [EC:2.3.1.274]	36	30	15	32
K08869	ADCK, ABC1	aarF domain-containing kinase	3	2	7	4
K13990	FTCD	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]	8	1	6	4
K13993	HSP20	HSP20 family protein	9	9	6	8
K03629	recF	DNA replication and repair protein RecF	12	8	16	9
K03396	gfa	S-(hydroxymethyl)glutathione synthase [EC:4.4.1.22]	2	2	3	6
K10806	yciA	acyl-CoA thioesterase YciA [EC:3.1.2.-]	2	2	2	4
K03392	ACMSD	aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]	3	2	5	3
K01028	E2.8.3.5A, scoA	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	3	2	5	4
K10807	RRM1	ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]	3	3	4	2
K21624	c3lhypd	cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]	6	2	1	1
K17215	K17215	inositol transport system ATP-binding protein	6	1	4	2
K09882	cobS	cobaltochelatase CobS [EC:6.6.1.2]	8	5	7	6
K09883	cobT	cobaltochelatase CobT [EC:6.6.1.2]	5	2	6	8
K12137	hyfB	hydrogenase-4 component B [EC:1.-.-.-]	1	7	1	6
K12132	prkC, stkP	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	159	176	156	194
K11730	ACAD11	acyl-CoA dehydrogenase family member 11	10	8	16	21
K13589	cpdR	two-component system, cell cycle response regulator CpdR	3	5	2	5
K06871	K06871	uncharacterized protein	5	3	1	1
K11443	divK	two-component system, cell cycle response regulator DivK	3	6	5	6
K06877	K06877	DEAD/DEAH box helicase domain-containing protein	23	12	9	8
K16329	psuG	pseudouridylate synthase [EC:4.2.1.70]	3	3	7	10
K00612	nodU	carbamoyltransferase [EC:2.1.3.-]	26	29	23	19
K00611	OTC, argF, argI	ornithine carbamoyltransferase [EC:2.1.3.3]	33	41	29	23
K00616	E2.2.1.2, talA, talB	transaldolase [EC:2.2.1.2]	43	33	48	39
K00615	E2.2.1.1, tktA, tktB	transketolase [EC:2.2.1.1]	91	84	88	99
K00619	argA	amino-acid N-acetyltransferase [EC:2.3.1.1]	3	1	1	2
K07478	ycaJ	putative ATPase	39	28	24	35
K19588	dopDH	2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]	3	1	1	2
K02636	petC	cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]	7	2	1	2
K20147	ntaA, nmoA	nitrilotriacetate monooxygenase [EC:1.14.14.10]	8	7	7	4
K07679	evgS, bvgS	two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]	1	1	3	2
K07678	barA, gacS, varS	two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]	13	14	13	9
K07677	rcsC	two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]	3	5	2	3
K11029	cyaA	anthrax edema toxin adenylate cyclase [EC:4.6.1.1]	2	1	1	3
K07497	K07497	putative transposase	20	16	25	18
K07493	K07493	putative transposase	11	16	27	18
K07498	K07498	putative transposase	2	1	4	7
K11209	yghU, yfcG	GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]	5	12	5	8
K11206	NIT1, ybeM	deaminated glutathione amidase [EC:3.5.1.128]	8	1	3	8
K21147	moeZR, moeBR	sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]	3	3	3	4
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	50	34	36	38
K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	88	83	85	97
K00729	ALG5	dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]	2	3	2	1
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	26	34	33	24
K08738	CYC	cytochrome c	10	7	4	4
K00720	UGCG	ceramide glucosyltransferase [EC:2.4.1.80]	4	1	1	1
K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]	45	39	41	45
K19280	mct	succinyl-CoA:mesaconate CoA transferase [EC:2.8.3.26]	3	1	4	2
K07452	mcrB	5-methylcytosine-specific restriction enzyme B [EC:3.1.21.-]	1	2	2	2
K04042	glmU	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	41	43	45	40
K07705	lytT, lytR	two-component system, LytTR family, response regulator LytT	7	4	5	8
K00432	gpx, btuE, bsaA	glutathione peroxidase [EC:1.11.1.9]	3	9	4	4
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	30	14	15	38
K00123	fdoG, fdhF, fdwA	formate dehydrogenase major subunit [EC:1.17.1.9]	20	28	31	25
K00124	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit	8	6	5	10
K04739	PRKAR	cAMP-dependent protein kinase regulator	2	3	3	2
K04127	cefD	isopenicillin-N epimerase [EC:5.1.1.17]	1	1	4	2
K08973	hemJ	protoporphyrinogen IX oxidase [EC:1.3.99.-]	2	1	2	1
K00138	aldB	aldehyde dehydrogenase [EC:1.2.1.-]	8	7	6	8
K05889	pvadh	polyvinyl alcohol dehydrogenase (cytochrome) [EC:1.1.2.6]	3	2	1	1
K15580	oppA, mppA	oligopeptide transport system substrate-binding protein	8	3	5	3
K15581	oppB	oligopeptide transport system permease protein	5	2	2	2
K15582	oppC	oligopeptide transport system permease protein	6	3	6	8
K15583	oppD	oligopeptide transport system ATP-binding protein	4	2	1	5
K01897	ACSL, fadD	long-chain acyl-CoA synthetase [EC:6.2.1.3]	34	35	37	40
K01896	ACSM	medium-chain acyl-CoA synthetase [EC:6.2.1.2]	10	4	10	7
K01895	ACSS1_2, acs	acetyl-CoA synthetase [EC:6.2.1.1]	116	120	81	108
K01894	gluQ	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	1	3	3	5
K01893	NARS, asnS	asparaginyl-tRNA synthetase [EC:6.1.1.22]	52	27	25	29
K01892	HARS, hisS	histidyl-tRNA synthetase [EC:6.1.1.21]	47	45	38	41
K00548	metH, MTR	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	82	96	96	82
K01890	FARSB, pheT	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	55	53	41	49
K14981	chvI	two-component system, OmpR family, response regulator ChvI	4	5	5	3
K14980	chvG	two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]	5	4	6	7
K14987	fixJ	two-component system, LuxR family, response regulator FixJ	7	5	9	7
K14986	fixL	two-component system, LuxR family, sensor kinase FixL [EC:2.7.13.3]	6	8	12	16
K01414	prlC	oligopeptidase A [EC:3.4.24.70]	8	3	3	1
K01419	hslV, clpQ	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	15	15	6	8
K00788	thiE	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	17	18	10	12
K00948	PRPS, prsA	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	30	30	32	34
K18068	pht3	phthalate 4,5-dioxygenase [EC:1.14.12.7]	7	3	2	2
K00942	E2.7.4.8, gmk	guanylate kinase [EC:2.7.4.8]	11	17	18	15
K00943	tmk, DTYMK	dTMP kinase [EC:2.7.4.9]	17	26	17	14
K00940	ndk, NME	nucleoside-diphosphate kinase [EC:2.7.4.6]	18	15	14	21
K00941	thiD	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	6	9	9	11
K00946	thiL	thiamine-monophosphate kinase [EC:2.7.4.16]	10	3	4	6
K22396	yjhG, yagF	xylonate dehydratase [EC:4.2.1.82]	6	8	2	10
K00945	cmk	CMP/dCMP kinase [EC:2.7.4.25]	24	17	12	11
K01092	E3.1.3.25, IMPA, suhB	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	17	16	9	11
K01091	gph	phosphoglycolate phosphatase [EC:3.1.3.18]	4	3	2	2
K20801	ltaA	L-allo-threonine aldolase [EC:4.1.2.49]	2	1	1	2
K22551	hpbA	N-methyl-L-proline demethylase [EC:1.5.3.-]	3	2	1	1
K01525	apaH	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	6	7	1	1
K01524	ppx-gppA	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	2	5	4	8
K01523	hisE	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	5	5	7	3
K02968	RP-S20, rpsT	small subunit ribosomal protein S20	6	9	1	8
K01520	dut, DUT	dUTP pyrophosphatase [EC:3.6.1.23]	12	5	9	4
K02615	paaJ	3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase [EC:2.3.1.223 2.3.1.174]	3	2	1	1
K02965	RP-S19, rpsS	small subunit ribosomal protein S19	16	14	10	12
K05643	ABCA3	ATP-binding cassette, subfamily A (ABC1), member 3	3	2	3	1
K02961	RP-S17, MRPS17, rpsQ	small subunit ribosomal protein S17	15	10	12	7
K03569	mreB	rod shape-determining protein MreB and related proteins	36	30	25	34
K03568	tldD	TldD protein	19	17	10	11
K03564	BCP, PRXQ, DOT5	thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]	6	13	17	8
K03566	gcvA	LysR family transcriptional regulator, glycine cleavage system transcriptional activator	3	2	3	2
K03561	exbB	biopolymer transport protein ExbB	6	6	4	6
K21567	fnr	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	3	2	4	2
K03562	tolQ	biopolymer transport protein TolQ	3	4	2	3
K22083	mgsC	methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]	5	4	13	12
K22082	mgsB	methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]	2	2	2	2
K01709	rfbG	CDP-glucose 4,6-dehydratase [EC:4.2.1.45]	2	6	5	1
K01708	garD	galactarate dehydratase [EC:4.2.1.42]	4	2	2	8
K01706	gudD	glucarate dehydratase [EC:4.2.1.40]	1	2	1	3
K01705	LYS4	homoaconitate hydratase [EC:4.2.1.36]	8	4	1	6
K01704	leuD, IPMI-S	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	35	21	20	27
K01703	leuC, IPMI-L	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	83	77	56	59
K14162	dnaE2	error-prone DNA polymerase [EC:2.7.7.7]	76	61	51	73
K13693	gpgS	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	5	3	3	4
K05396	dcyD	D-cysteine desulfhydrase [EC:4.4.1.15]	5	1	2	1
K03709	troR	DtxR family transcriptional regulator, Mn-dependent transcriptional regulator	1	1	3	4
K21703	cbbR, cmpR, ndhR	LysR family transcriptional regulator, low CO2-responsive transcriptional regulator	1	2	3	1
K02388	flgC	flagellar basal-body rod protein FlgC	2	6	2	2
K03701	uvrA	excinuclease ABC subunit A	181	185	166	152
K03703	uvrC	excinuclease ABC subunit C	68	52	46	59
K03702	uvrB	excinuclease ABC subunit B	99	76	83	72
K03705	hrcA	heat-inducible transcriptional repressor	17	17	27	16
K03704	cspA	cold shock protein	27	21	31	25
K03499	trkA, ktrA	trk system potassium uptake protein	5	4	9	6
K03495	gidA, mnmG, MTO1	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	49	45	35	45
K03497	parB, spo0J	ParB family transcriptional regulator, chromosome partitioning protein	29	20	28	24
K03496	parA, soj	chromosome partitioning protein	33	34	50	39
K13525	VCP, CDC48	transitional endoplasmic reticulum ATPase	20	16	10	5
K13527	mpa	proteasome-associated ATPase	13	9	11	13
K13529	ada-alkA	AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]	1	3	2	5
K17069	MET17	O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]	11	23	19	16
K18142	acrF	multidrug efflux pump	1	1	4	2
K03814	mtgA	monofunctional glycosyltransferase [EC:2.4.1.129]	7	12	10	9
K02549	menC	o-succinylbenzoate synthase [EC:4.2.1.113]	10	4	10	6
K03635	MOCS2B, moaE	molybdopterin synthase catalytic subunit [EC:2.8.1.12]	13	4	8	11
K03637	moaC, CNX3	cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]	17	10	8	16
K17686	copA, ctpA, ATP7	P-type Cu+ transporter [EC:7.2.2.8]	70	75	46	46
K03631	recN	DNA repair protein RecN (Recombination protein N)	19	11	10	18
K03630	radC	DNA repair protein RadC	10	6	9	11
K03149	thiG	thiazole synthase [EC:2.8.1.10]	18	21	21	28
K03639	moaA, CNX2	GTP 3',8-cyclase [EC:4.1.99.22]	36	42	26	32
K03638	moaB	molybdopterin adenylyltransferase [EC:2.7.7.75]	2	1	1	1
K13419	pknK	serine/threonine-protein kinase PknK [EC:2.7.11.1]	1	1	4	3
K03386	PRDX2_4, ahpC	peroxiredoxin 2/4 [EC:1.11.1.24]	6	7	7	9
K06282	hyaA, hybO	hydrogenase small subunit [EC:1.12.99.6]	2	1	1	1
K06281	hyaB, hybC	hydrogenase large subunit [EC:1.12.99.6]	12	14	5	2
K06048	gshA, ybdK	glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	16	16	45	33
K06045	shc	squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]	14	18	24	24
K06044	treY, glgY	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]	5	3	19	14
K06041	kdsD, kpsF	arabinose-5-phosphate isomerase [EC:5.3.1.13]	16	8	13	13
K06042	cobH-cbiC	precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]	3	3	3	1
K03438	mraW, rsmH	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	31	42	24	22
K13236	DECR1	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial [EC:1.3.1.124]	2	2	3	1
K05350	bglB	beta-glucosidase [EC:3.2.1.21]	2	1	1	5
K11690	dctM	C4-dicarboxylate transporter, DctM subunit	2	3	2	3
K07249	ALDH1A	retinal dehydrogenase [EC:1.2.1.36]	8	3	14	8
K03432	psmA, prcA	proteasome alpha subunit [EC:3.4.25.1]	5	6	1	5
K07246	ttuC, dmlA	tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]	3	8	3	5
K07240	chrA	chromate transporter	12	6	4	4
K02825	pyrR	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	9	10	12	10
K18313	sct	succinyl-CoA---D-citramalate CoA-transferase [EC:2.8.3.20]	3	10	8	6
K20034	dmdB	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]	4	9	4	8
K20035	dmdC	3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-]	11	9	5	12
K06601	flbT	flagellar biosynthesis repressor protein FlbT	1	2	1	1
K11473	glcF	glycolate oxidase iron-sulfur subunit	11	7	4	6
K11477	glcG	glc operon protein GlcG	1	2	1	1
K06861	lptB	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	21	24	7	8
K00600	glyA, SHMT	glycine hydroxymethyltransferase [EC:2.1.2.1]	69	74	46	48
K00603	fctD	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase [EC:2.1.2.5 6.3.3.2]	10	6	1	4
K00602	purH	phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	57	57	45	53
K00605	gcvT, AMT	aminomethyltransferase [EC:2.1.2.10]	40	40	26	34
K00604	MTFMT, fmt	methionyl-tRNA formyltransferase [EC:2.1.2.9]	38	22	24	23
K00606	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	30	34	30	31
K00609	pyrB, PYR2	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	29	41	27	25
K13310	desV, eryCI	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase [EC:2.6.1.106]	2	8	6	8
K07648	arcB	two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]	2	2	4	3
K01322	PREP	prolyl oligopeptidase [EC:3.4.21.26]	13	12	17	10
K12368	dppA	dipeptide transport system substrate-binding protein	3	8	5	8
K07393	ECM4, yqjG	glutathionyl-hydroquinone reductase [EC:1.8.5.7]	1	2	6	3
K07390	grxD, GLRX5	monothiol glutaredoxin	1	4	3	2
K07391	comM	magnesium chelatase family protein	17	25	15	19
K07644	cusS, copS, silS	two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	2	2	7	2
K07646	kdpD	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]	36	35	29	47
K13893	yejA	microcin C transport system substrate-binding protein	8	4	10	4
K03666	hfq	host factor-I protein	4	4	4	2
K03667	hslU	ATP-dependent HslUV protease ATP-binding subunit HslU	36	26	27	29
K19639	PR	perakine reductase [EC:1.1.1.317]	9	17	14	13
K12266	norR	anaerobic nitric oxide reductase transcription regulator	59	61	46	53
K15022	fdhB	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]	6	12	1	1
K15020	K15020	acryloyl-coenzyme A reductase [EC:1.3.1.84]	1	1	2	4
K07027	K07027	glycosyltransferase 2 family protein	1	1	2	1
K09773	ppsR	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]	12	15	8	6
K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	11	16	10	9
K07029	dagK	diacylglycerol kinase (ATP) [EC:2.7.1.107]	1	1	2	1
K07806	arnB, pmrH	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]	22	18	24	26
K10255	FAD6, desA	acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]	1	2	6	1
K00137	prr	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	13	10	23	18
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	32	29	28	20
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	37	40	29	31
K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	32	31	31	29
K01958	PC, pyc	pyruvate carboxylase [EC:6.4.1.1]	9	12	16	11
K00130	betB, gbsA	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	27	30	63	47
K01956	carA, CPA1	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	34	38	36	33
K01955	carB, CPA2	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	136	146	120	133
K01952	PFAS, purL	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	100	114	76	98
K01953	asnB, ASNS	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	23	31	34	40
K01950	E6.3.5.1, NADSYN1, QNS1, nadE	NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]	14	15	23	23
K01951	guaA, GMPS	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	65	87	61	68
K00428	E1.11.1.5	cytochrome c peroxidase [EC:1.11.1.5]	5	3	5	3
K07735	algH	putative transcriptional regulator	9	16	9	11
K07738	nrdR	transcriptional repressor NrdR	18	14	16	12
K00425	cydA	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	14	4	3	3
K00427	lldP, lctP	L-lactate permease	4	6	12	4
K00426	cydB	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	4	3	4	2
K10527	MFP2	enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35 1.1.1.211]	1	1	2	1
K01393	NLN	neurolysin [EC:3.4.24.16]	1	1	1	1
K06442	tlyA	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	7	8	4	8
K05896	scpA	segregation and condensation protein A	11	10	9	7
K05894	OPR	12-oxophytodienoic acid reductase [EC:1.3.1.42]	5	2	2	8
K07662	cpxR	two-component system, OmpR family, response regulator CpxR	3	1	2	1
K00554	trmD	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	27	32	27	28
K15599	thiX	putative hydroxymethylpyrimidine transport system permease protein	3	2	3	5
K00558	DNMT1, dcm	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	1	2	3	1
K00816	CCBL	kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64]	5	4	3	1
K01179	E3.2.1.4	endoglucanase [EC:3.2.1.4]	4	3	3	4
K14974	nicC	6-hydroxynicotinate 3-monooxygenase [EC:1.14.13.114]	2	2	2	1
K15975	K15975	glyoxalase family protein	3	3	6	6
K00958	sat, met3	sulfate adenylyltransferase [EC:2.7.7.4]	12	14	11	11
K14085	ALDH7A1	aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]	7	9	8	4
K00951	relA	GTP pyrophosphokinase [EC:2.7.6.5]	43	28	27	35
K00950	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	5	5	5	3
K00955	cysNC	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]	3	6	3	4
K00954	E2.7.7.3A, coaD, kdtB	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	18	22	17	22
K00957	cysD	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	24	18	22	18
K00956	cysN	sulfate adenylyltransferase subunit 1 [EC:2.7.7.4]	30	18	29	22
K01551	arsA, ASNA1, GET3	arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]	6	3	3	8
K01556	KYNU, kynU	kynureninase [EC:3.7.1.3]	6	6	13	9
K05658	ABCB1, CD243	ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]	20	19	25	15
K01555	FAH, fahA	fumarylacetoacetase [EC:3.7.1.2]	6	4	9	5
K15376	GPHN	gephyrin [EC:2.10.1.1 2.7.7.75]	6	1	4	5
K02601	nusG	transcription termination/antitermination protein NusG	19	16	14	16
K02600	nusA	transcription termination/antitermination protein NusA	31	33	34	23
K15371	GDH2	glutamate dehydrogenase [EC:1.4.1.2]	19	16	31	21
K03321	TC.SULP	sulfate permease, SulP family	3	5	2	5
K03550	ruvA	holliday junction DNA helicase RuvA [EC:3.6.4.12]	17	16	11	15
K03551	ruvB	holliday junction DNA helicase RuvB [EC:3.6.4.12]	37	41	36	35
K03553	recA	recombination protein RecA	52	40	43	47
K03555	mutS	DNA mismatch repair protein MutS	90	76	68	59
K03556	malT	LuxR family transcriptional regulator, maltose regulon positive regulatory protein	4	1	5	5
K01778	dapF	diaminopimelate epimerase [EC:5.1.1.7]	14	16	13	15
K01772	hemH, FECH	protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	33	23	18	21
K01770	ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]	9	9	11	10
K01776	murI	glutamate racemase [EC:5.1.1.3]	11	8	11	20
K01775	alr	alanine racemase [EC:5.1.1.1]	14	27	18	24
K13356	FAR	alcohol-forming fatty acyl-CoA reductase [EC:1.2.1.84]	2	1	1	1
K13688	chvB, cgs, ndvB	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]	23	24	14	15
K21739	rclA	probable pyridine nucleotide-disulfide oxidoreductase	1	2	2	2
K02394	flgI	flagellar P-ring protein FlgI	13	7	5	3
K02390	flgE	flagellar hook protein FlgE	2	6	3	4
K02392	flgG	flagellar basal-body rod protein FlgG	11	6	6	5
